,cost_function,value,name,level
96,discomfort_hot_delta_maximum,13.07291030883789,Building_5,building
97,discomfort_hot_delta_average,1.0359620935675027,Building_5,building
98,one_minus_thermal_resilience_proportion,1.0,Building_5,building
99,power_outage_normalized_unserved_energy_total,0.7134378206218364,Building_5,building
100,annual_normalized_unserved_energy_total,0.016722097616410584,Building_5,building
101,electricity_consumption_total,0.625271435662839,Building_6,building
102,zero_net_energy,0.5539263860984837,Building_6,building
103,carbon_emissions_total,0.625540074180356,Building_6,building
104,cost_total,0.6090769261452881,Building_6,building
105,discomfort_proportion,0.6306603773584906,Building_6,building
106,discomfort_cold_proportion,0.048113207547169815,Building_6,building
107,discomfort_hot_proportion,0.5825471698113207,Building_6,building
108,discomfort_cold_delta_minimum,0.0,Building_6,building
109,discomfort_cold_delta_maximum,7.195854187011719,Building_6,building
110,discomfort_cold_delta_average,0.2411335119302722,Building_6,building
111,discomfort_hot_delta_minimum,0.0,Building_6,building
112,discomfort_hot_delta_maximum,10.163354873657227,Building_6,building
113,discomfort_hot_delta_average,2.933388932891514,Building_6,building
114,one_minus_thermal_resilience_proportion,0.975609756097561,Building_6,building
115,power_outage_normalized_unserved_energy_total,0.4448361846818807,Building_6,building
116,annual_normalized_unserved_energy_total,0.009647713552730258,Building_6,building
