,cost_function,value,name,level
96,discomfort_hot_delta_maximum,13.406745910644531,Building_5,building
97,discomfort_hot_delta_average,2.3087255358695984,Building_5,building
98,one_minus_thermal_resilience_proportion,1.0,Building_5,building
99,power_outage_normalized_unserved_energy_total,0.7348229511302276,Building_5,building
100,annual_normalized_unserved_energy_total,0.01676022921515982,Building_5,building
101,electricity_consumption_total,0.4204198089776502,Building_6,building
102,zero_net_energy,0.34900275606346204,Building_6,building
103,carbon_emissions_total,0.42275176103476286,Building_6,building
104,cost_total,0.414885932782939,Building_6,building
105,discomfort_proportion,0.9287735849056604,Building_6,building
106,discomfort_cold_proportion,0.010377358490566037,Building_6,building
107,discomfort_hot_proportion,0.9183962264150943,Building_6,building
108,discomfort_cold_delta_minimum,0.0,Building_6,building
109,discomfort_cold_delta_maximum,3.502462387084961,Building_6,building
110,discomfort_cold_delta_average,0.0451300455176312,Building_6,building
111,discomfort_hot_delta_minimum,0.0,Building_6,building
112,discomfort_hot_delta_maximum,10.724529266357422,Building_6,building
113,discomfort_hot_delta_average,5.4845331674036775,Building_6,building
114,one_minus_thermal_resilience_proportion,1.0,Building_6,building
115,power_outage_normalized_unserved_energy_total,0.36940321795312137,Building_6,building
116,annual_normalized_unserved_energy_total,0.01043915014442326,Building_6,building
